"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.231015238764614,0.0347284323469345,6.65204914684281,2.89040143613299e-11
"relevel(site_type, ref = ""Natural"")Agricultural",-0.0759157922625314,0.0409905117660138,-1.85203328750521,0.0640210430643897
"relevel(site_type, ref = ""Natural"")Semi-natural remnant",0.124230112364619,0.0438334493717205,2.83413954742899,0.00459492620698879
