county,year,site_id,site_type,no_of_bees,sample_date
Middlesex Centre,2015,1,Agricultural,7,07/02/2015
Middlesex Centre,2015,1,Agricultural,1,07/02/2015
Middlesex Centre,2015,1,Agricultural,3,07/02/2015
Middlesex Centre,2015,1,Agricultural,0,07/02/2015
Middlesex Centre,2015,1,Agricultural,1,07/02/2015
Middlesex Centre,2015,1,Agricultural,0,07/02/2015
Middlesex Centre,2015,1,Agricultural,0,07/02/2015
Middlesex Centre,2015,1,Agricultural,1,07/02/2015
Middlesex Centre,2015,1,Agricultural,0,07/02/2015
Middlesex Centre,2015,1,Agricultural,0,07/02/2015
Middlesex Centre,2015,1,Agricultural,0,07/02/2015
Middlesex Centre,2015,1,Agricultural,0,07/02/2015
Middlesex Centre,2015,1,Agricultural,0,07/02/2015
Middlesex Centre,2015,1,Agricultural,0,07/02/2015
Middlesex Centre,2015,2,Agricultural,3,08/12/2015
Middlesex Centre,2015,2,Agricultural,14,08/12/2015
Middlesex Centre,2015,2,Agricultural,7,08/12/2015
Middlesex Centre,2015,2,Agricultural,0,08/12/2015
Middlesex Centre,2015,2,Agricultural,0,08/12/2015
Middlesex Centre,2015,2,Agricultural,0,08/12/2015
Middlesex Centre,2015,2,Agricultural,0,08/12/2015
Middlesex Centre,2015,2,Agricultural,1,08/12/2015
Middlesex Centre,2015,2,Agricultural,0,08/12/2015
Middlesex Centre,2015,2,Agricultural,0,08/12/2015
Middlesex Centre,2015,2,Agricultural,0,08/12/2015
Middlesex Centre,2015,2,Agricultural,0,08/12/2015
Middlesex Centre,2015,2,Agricultural,0,08/12/2015
Middlesex Centre,2015,2,Agricultural,0,08/12/2015
Leamington,2015,3,Agricultural,2,05/28/2015
Leamington,2015,3,Agricultural,10,05/28/2015
Leamington,2015,3,Agricultural,8,05/28/2015
Leamington,2015,3,Agricultural,0,05/28/2015
Leamington,2015,3,Agricultural,0,05/28/2015
Leamington,2015,3,Agricultural,0,05/28/2015
Leamington,2015,3,Agricultural,0,05/28/2015
Leamington,2015,3,Agricultural,0,05/28/2015
Leamington,2015,3,Agricultural,0,05/28/2015
Leamington,2015,3,Agricultural,0,05/28/2015
Leamington,2015,3,Agricultural,0,05/28/2015
Leamington,2015,3,Agricultural,0,05/28/2015
Leamington,2015,3,Agricultural,0,05/28/2015
Leamington,2015,3,Agricultural,0,05/28/2015
Central Elgin,2015,4,Agricultural,8,06/03/2015
Central Elgin,2015,4,Agricultural,1,06/03/2015
Central Elgin,2015,4,Agricultural,0,06/03/2015
