0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
County,MOECC Site Number,Lat,Long,Site Type,Sample date,Year,bimaculatus Queens,bimaculatus workers,bimaculatus males,bimaculatus total,griseocollis Queen,griseocollis worker,griseocollis male,griseocollis total,impatiens Queens,impatiens workers,impatiens males,impatiens total, fervidus Queens,fervidus workers,fervidus males,fervidus total,borealis Queens,borealis workers,borealis males,borealis total,rufocinctus Queens,rufocinctus workers,rufocinctus males,rufocinctus total,pensylvanicus Queens,pensylvanicus workers,pensylvanicus males,pensylvanicus total,vagans Queens,vagans workers,vagans males,vagans total,ternarius Queens,ternarius workers,ternarius males,ternarius total,perplexus Queens,perplexus workers,perplexus males,perplexus total,citrinus Queens,citrinus males,citrinus total,auricomus Queens,auricomus workers,auricomus males,auricomus total,terricola Queens,terricola workers,terricola males,terricola total,flavidus Queens,flavidus males,flavidus total,Flowers in bloom,Flowers Bees Collected on,,
Perth South,8,43.24646,-81.18899,Agriculture,07/02/2015,2015,0,3,1,4,0,1,0,1,0,8,0,8,0,0,0,0,0,0,1,1,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yellow sweet clover, alfalfa, red clover, thistle",mostly yellow clover ,,
Perth South,8,43.24646,-81.18899,Agriculture,08/11/2015,2015,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Queen Anne's lace, goldenrod, burdock, red clover, common thistle, other thistle",,,
Thames Centre,9,42.913211,-80.956743,Semi-natural remnant,06/03/2015,2015,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
Zorra,10,43.254845,-81.027842,Semi-natural remnant,06/15/2015,2015,0,6,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Zorra,10,43.254845,-81.027842,Semi-natural remnant,08/11/2015,2015,0,0,2,2,0,0,4,4,0,28,8,36,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,
Dutton-Dunwich,11,42.67312,-81.48641,Agriculture,06/12/2015,2015,0,1,0,1,1,0,0,1,3,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"red clover, white clover ",,,
London,12,43.034878,-81.191135,Semi-natural remnant,06/22/2015,2015,0,8,0,8,0,26,0,26,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Grimsby,13,43.21804 ,-79.62868,Semi-natural remnant,07/24/2015,2015,0,3,0,3,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Grimsby,13,43.21804 ,-79.62868,Semi-natural remnant,08/19/2015,2015,0,0,0,0,0,3,0,3,0,7,0,7,0,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Southwest Middlesex,14,42.74374,-81.69839,Agriculture,06/19/2015,2015,0,2,0,2,1,1,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"red clover, white clover, multiple kinds of vetch, birdsfoot trefoil",,,
